UPC,Item Name,Brand,Domestic Vendors,Vendor Names,Min Price,Avg Price
3614226905963,"MY BURBERRY(L) 3.0 OZ EDP",N/A,12,"Acme, BS, Classic, Cosmo, Haz, MTZ, Montroyal, Perfume Plus, Perfume Price, Prestige Fragrances, TJS, United",48.5,53.96
8411061055182,"CH CH PASSION 3.4 EDP SP M",N/A,12,"BS, ET, General, Gift Express, Haz, MTZ, Montroyal, Nandansons, Perfume Center, Perfume Plus, Perfume Price, United",42.5,49.46
3432240506306,"Cartier Pasha De Cartier Eau de Toilette 100ml",N/A,12,"Acme, BS, CBS, General, Haz, MTZ, Montroyal, Nandansons, PWW, Perfume Center, Perfume Price, TJS",54.5,60.18
3346470143166,"GUERLAIN Samsara  Wom EDP (75ml)",DIOR,12,"BS, CBS, Classic, ET, Fragrance Depot, General, Gift Express, MTZ, Montroyal, Nandansons, Perfume Price, TJS",63.4,68.57
3616304967122,"BURBERRY GODDESS INTENSE L 3.4 *EDP* SPRAY",N/A,12,"BS, Classic, Fragrance Depot, General, Gift Express, MTZ, Montroyal, Nandansons, Perfume Plus, Perfume Price, United, Yossi",71.6,78.95
8411061083659,"CAROLINA H GOOD GIRL BLUSH ELIXIR EDP SP 2.7oz",NISHANE,12,"BS, CBS, Classic, ET, Fragrance Depot, General, Gift Express, Nandansons, Perfume Plus, Perfume Price, Prestige Fragrances, United",88,93.29
6290360598666,"Lattafa Asad Zanzibar 3.4 edp spr",N/A,12,"Classic, Cosmo, ET, Euro, General, MTZ, Nandansons, POTW, Perfume Center, Perfume Plus, United, Yossi",9.9,12.67
6290171072836,"AFNAN 9AM DIVE U 3.4 EDP SPRAY (BLUE) ..",N/A,12,"Classic, ET, French, General, Gift Express, MTZ, Montroyal, Nandansons, POTW, Paris, Perfume Plus, United",17.95,20.05
3614228834032,"NAUTICA [M] VOYAGE 6.7 Oz EDT SPR [LARGE]",Yves Saint Laurent,12,"Classic, Cosmo, General, Gift Express, Haz, MTZ, NYB, Nandansons, POTW, Paris, Perfume Price, United",16.95,20.01
3386460136549,"JIMMY CHOO Rose Passion Wom EDP (100ml)",Dolce & Gabbana,12,"CBS, Classic, Fragrance Depot, French, General, MTZ, Montroyal, Nandansons, PWW, Paris, Perfume Plus, Perfume Price",21,26.80
8011003995493,"VERSACE BRIGHT CRYSTAL (L) TESTER EDT 90 ml W/O CAP",Carolina Herrera,12,"CBS, Classic, Cosmo, Euro, MTZ, Montroyal, Network, POTW, Paris, Prestige Fragrances, Sanya, Spectrum",25.5,29.52
8011003864089,"MOSCHINO Toy2 Bubble Gum Wom EDT (100ml)",N/A,12,"Classic, Cosmo, ET, General, MTZ, Nandansons, Network, Perfume Plus, Perfume Price, Sanya, Spectrum, United",29.5,32.85
3386460129879,"JIMMY CHOO I Want Choo Forever Wom EDP (100ml)",N/A,12,"Acme, CBS, Classic, Cosmo, Fragrance Depot, General, Gift Express, MTZ, Montroyal, Nandansons, Perfume Plus, Perfume Price",46.3,50.99
3349668617050,"Paco Rabanne 1 Million Royal M 3.4 Parfum spr",N/A,12,"CBS, Classic, ET, Fragrance Depot, General, Haz, Montroyal, Nandansons, Perfume Plus, Perfume Price, Prestige Fragrances, United",57.5,65.53
8011003996025,"VERSACE Pour Homme EDT TST (100ml)",CAROLINA HERRERA,11,"BS, Classic, Gift Express, Montroyal, NYB, Nandansons, Network, POTW, Perfume Price, Sanya, Spectrum",23.5,25.54
6294015180251,"ARMAF [M] CLUB DE NUIT OUD 3.6 Oz EAU DE PARFUM SPR [OUD]",N/A,11,"BS, Classic, Fragrance Depot, French, Gift Express, Haz, MTZ, Montroyal, Nandansons, Perfume Price, United",34,37.58
3614273953849,"ACQUA DI GIO PROFONDO REFILLABLE M EDP 100ML",N/A,11,"BS, CBS, Cosmo, Haz, MTZ, PWW, Perfume Price, Prestige Fragrances, QFG, TJS, Yossi",66.5,74.27
8411061083772,"CAROLINA HERRERA BAD BOY COBALT ELIXIR 3.4OZ EDP MEN",N/A,11,"BS, CBS, Classic, ET, General, Haz, MTZ, Montroyal, Nandansons, Perfume Plus, United",67,72.48
3360373063741,"TESTER AMOR AMOR WOMAN 3.3 EDT SP NO CAP  ",N/A,11,"Classic, Cosmo, French, General, Haz, NYB, Nandansons, Network, POTW, QFG, Sanya",14.5,16.00
6294015188653,"ARMAF ODYSSEY SPECTRA RAINBOW EDITION (M) EDP 100ML",ARMAF,11,"BS, Classic, Gift Express, MTZ, Montroyal, Nandansons, Perfume Price, Perfumora, Spectrum, United, Yossi",15,17.30
6291107458328,"LATTAFA BADE'E AL OUD FOR GLORY (U) EDP 100 ml",N/A,11,"Classic, ET, Fragrance Depot, French, Gift Express, Heritage, MTZ, Nandansons, Perfume Plus, Perfume Price, United",14.5,16.64
6291108730515,"Lattafa Yara W 3.4 edp spr",Pacifica,11,"Classic, Fragrance Depot, French, Gift Express, Montroyal, NYB, Nandansons, Network, Perfume Plus, Perfume Price, United",14.7,18.96
6085010044712,"Armaf Club de Nuit Intense M 3.6 edt spr",N/A,11,"Classic, ET, Fragrance Depot, General, Gift Express, Heritage, Montroyal, Network, Perfume Price, Prestige Fragrances, United",19,20.82
3616300892442,"BURBBERY HER LONDON DREAM (L) 3.4OZ EDP",N/A,11,"Acme, CBS, Cosmo, Fragrance Depot, Gift Express, MTZ, Nandansons, PWW, Perfume Price, Prestige Fragrances, TJS",51.5,57.02
3614222402077,"TIFFANY & CO Tiffany Wom EDP (75ml)",N/A,11,"Acme, CBS, Classic, General, Haz, Montroyal, Nandansons, PWW, Perfume Center, Perfume Price, TJS",47,60.45
8411061083482,"212 VIP ROSE ELIXIR EDP 80 ML   ",NISHANE,11,"Classic, ET, Fragrance Depot, General, Gift Express, Haz, MTZ, Montroyal, Perfume Plus, Perfume Price, United",55.3,68.21
3349668630349,"PACO ONE MILLION GOLD INTENSE 3.4 EDP SPR (M)",N/A,11,"Acme, CBS, Classic, ET, Fragrance Depot, Haz, MTZ, Montroyal, Nandansons, Perfume Price, United",67.5,71.11
3349668614592,"PACO RABANNE "PHANTOM" PARFUM 3.3 OZ SPR [M]",N/A,11,"Acme, CBS, Classic, ET, Fragrance Depot, Haz, MTZ, Montroyal, Perfume Plus, Perfume Price, United",59.4,67.08
3386460119252,"JIMMY CHOO I WANT CHOO (L) 3.4OZ EDP SP",N/A,11,"CBS, Classic, ET, Fragrance Depot, General, MTZ, Montroyal, Nandansons, PWW, Perfume Plus, Perfume Price",47.25,52.43
810101500060,"ARIANA GRANDE MOD BLUSH EDP SP 3.4oz",N/A,11,"Classic, General, Gift Express, MTZ, Nandansons, Network, Paris, Perfume Center, Perfume Plus, Perfume Price, United",34.65,38.76
3605972455338,"Polo Sport Fresh EDT 4.2 oz Spray M",N/A,10,"ABDiversified, BS, Classic, Cosmo, French, NYB, POTW, Paris, Perfume Plus, United",13.25,18.14
3386460066181,"Montblanc Lady Emblem Eau de Parfum 75ml",N/A,10,"BS, CBS, Classic, ET, General, Montroyal, Nandansons, Perfume Plus, Sanya, United",18,22.14
8057971188116,"DG LIGHT BLUE 3.4 EDT M NEW 2025  (129944)",N/A,10,"BS, CBS, Classic, ET, MTZ, Nandansons, Perfume Center, Perfume Plus, Prestige Fragrances, Yossi",36.2,39.03
