UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
88300601400,"Calvin Klein Eternity EDP for Women | 3.4 oz / 100 ml",N/A,20,"OniEssence; Perfume Price; TJS; Source; PWW; Nandansons; United; Mod; NYB; Sanya; Aairie; Distributor; Perfume Center; Cosmo; Perfume Distributors; Haz; Premier; Classic; POTW; Paris",23.2,25.05
3386460066273,"Jimmy Choo Blossom Eau de Parfum 100ml",N/A,20,"Perfume Price; Source; United; Mod; Heritage; Sanya; Aairie; NYB; MTZ; Fragrance Depot; Perfume Plus; Cosmo; Montroyal; Nandansons; Gift Express; ET; Classic; French; POTW; General",24,26.32
8011003839308,"MOSCHINO TOY2 EDP 100ML",N/A,20,"Perfume Price; TJS; United; PWW; Nandansons; Mod; Heritage; Sanya; Distributor; Cosmo; Perfume Distributors; Perfume Center; Gift Express; Acme; Premier; Classic; ET; Aairie; POTW; Perfumora",27,30.85
8011003864089,"MOSCHINO Toy2 Bubble Gum Wom EDT (100ml)",N/A,20,"OniEssence; TJS; United; Source; Heritage; Sanya; Fragrance Depot; Perfume Plus; Distributor; Cosmo; Perfume Distributors; PWW; Perfume Center; MTZ; Perfume Price; Premier; Gift Express; ET; Perfumora; Classic",29.75,32.32
3605521515346,"Viktor & Rolf Spicebomb EDT for Men | 3 oz / 90 ml - SPR",Viktor & Rolf,20,"Perfume Price; United; Heritage; TJS; Perfume Plus; Mod; Haz; Montroyal; Nandansons; PWW; Euro; MTZ; Acme; ET; French; Fragsense; Perfumora; Perfume Center; Paris; POTW",30,38.30
8011003995967,"Gianni Versace Versace Pour Homme EDT for Men | 3.4 oz / 100 ml",Gianni Versace,20,"Network; Perfume Price; United; Source; Heritage; TJS; Mod; Montroyal; Perfume Center; MTZ; Acme; Nandansons; Perfume Plus; ET; Aairie; POTW; Fragsense; Perfumora; Classic; Paris",33.5,35.35
3274878122561,"Givenchy Amarige EDT for Women | 3.3 oz / 100 ml",Givenchy,20,"United; Source; Luxury; Heritage; NYB; Nandansons; Perfume Center; Fun2; Montroyal; PWW; Perfume Price; Aairie; Gift Express; French; Perfumora; Classic; Paris; Haz; MTZ; POTW",38,41.53
27131043317,"Estee Lauder Pleasures EDP for Women | 3.4 oz / 100 ml",Estee Lauder,19,"TJS; Source; PWW; Nandansons; United; Luxury; Mod; Heritage; MTZ; Fragrance Depot; Perfume Plus; Distributor; Perfume Center; Montroyal; Euro; Premier; ET; Aairie; General",20,27.24
3147758034905,"Lancome Tresor EDP for Women | 1 oz / 30 ml",Lancome,19,"Perfume Price; TJS; Source; PWW; Nandansons; NYB; Heritage; MTZ; Distributor; Cosmo; Perfume Distributors; Haz; Gift Express; ET; Classic; French; POTW; Fragsense; Paris",23.5,26.74
3614226905154,"Burberry Brit EDT for Men (New Packaging) | 3.3 oz / 100 ml",Burberry,19,"Perfume Price; Source; Nandansons; Luxury; NYB; Heritage; TJS; Aairie; MTZ; Distributor; Perfume Center; Cosmo; Perfume Distributors; Haz; Montroyal; Premier; French; General; Paris",23.75,25.65
8057971183661,"Dolce & Gabbana Q Eau De Parfum for Women | 3.3 oz / 100 ml - Spray",Dolce & Gabbana,19,"OniEssence; Perfume Price; United; Luxury; TJS; Aairie; Fragrance Depot; PWW; Perfume Center; Nandansons; Premier; Perfume Plus; French; Distributor; Fragsense; General; Classic; Paris; Haz",32.25,37.45
8057971183739,"Dolce & Gabbana Devotion Eau De Parfum for Women | 3.3 oz / 100 ml - Spray",Dolce & Gabbana,19,"OniEssence; Perfume Price; United; Luxury; TJS; Nandansons; Fragrance Depot; Perfume Plus; Cosmo; Perfume Center; PWW; Premier; Aairie; Gift Express; Distributor; Fap; General; Classic; Paris",37.5,43.60
3614273521307,"AZZARO THE MOST WANTED ( M ) EDP SP 3.4 OZ",CLARINS,19,"OniEssence; United; Perfume Price; TJS; Nandansons; Fragrance Depot; Classic; PWW; Awesome; Acme; Premier; Aairie; Perfume Plus; General; MTZ; Perfume Center; Paris; Haz; POTW",37.5,49.90
737052339047,"Gucci Guilty EDT for Men | 3 oz / 90 ml",Gucci,19,"OniEssence; Perfume Price; NYB; Luxury; Heritage; Sanya; TJS; Nandansons; Fragrance Depot; Perfume Plus; Classic; Perfume Center; Aairie; Gift Express; General; United; Paris; Haz; PWW",46,50.52
3614273636513,"Giorgio Armani Armani Code Eau De Toilette for Men | 4.2 oz / 125 ml (Refillable) - Spray - Refillable",Giorgio Armani,19,"Perfume Price; United; Luxury; Montroyal; TJS; Nandansons; Classic; Perfume Center; PWW; ET; Premier; Distributor; POTW; Fap; General; MTZ; Yossi; Spectrum; Aairie",49,57.81
